first_name,last_name,position,team,salary
Max,Strus,SG,Chicago Bulls,898310
Caleb,Martin,SF,Charlotte Hornets,898310
Talen,Horton-Tucker,SG,Los Angeles Lakers,898310
Alen,Smailagic,PF,Golden State Warriors,898310
Justin,Robinson,F,Washington Wizards,898310
Vlatko,Cancar,SF,Denver Nuggets,898310
Matt,Thomas,SG,Toronto Raptors,898310
Javonte,Green,SF,Boston Celtics,898310
Miye,Oni,SG,Utah Jazz,898310
Justin,James,G,Sacramento Kings,898310
Damion,Lee,SG,Golden State Warriors,842327
Isaiah,Briscoe,G,Orlando Magic,838464
Juwan,Morgan,F,Utah Jazz,746054
Marquese,Chriss,SF,Golden State Warriors,654469
Timothe,Luwawu-Cabarrot,SG,Brooklyn Nets,654469
Marvin,Williams,F,Milwaukee Bucks,604278
Michael,Kidd-Gilchrist,F,Dallas Mavericks,595122
Rayjon,Tucker,G,Utah Jazz,578573
Chris,Clemons,G,Houston Rockets,563347
Gary,Clark,F,Orlando Magic,555409
Brandon,Goodwin,G,Atlanta Hawks,522738
Reggie,Jackson,PG,LA Clippers,512721
DeMarre,Carroll,F,Houston Rockets,512721
Anzejs,Pasecniks,C,Washington Wizards,482144
Chris,Silva,PF,Miami Heat,466918
Jeff,Green,PF,Houston Rockets,439475
Troy,Daniels,G,Denver Nuggets,384541
Dion,Waiters,G,Los Angeles Lakers,375385
Norvel,Pelle,PF,Philadelphia 76ers,350189
Ky,Bowman,G,Golden State Warriors,350189
Juan,Toscano-Anderson,SF,Golden State Warriors,350189
JR,Smith,G,Los Angeles Lakers,289803
Tyler,Zeller,C,San Antonio Spurs,245686
Jimmer,Fredette,G,Phoenix Suns,208509
Jontay,Porter,PF,Memphis Grizzlies,197933
Tyler,Johnson,G,Brooklyn Nets,183115
Anthony,Tolliver,PF,Memphis Grizzlies,183115
Luguentz,Dort,SF,Oklahoma City Thunder,155647
