team,attendance,season,opponent,arena,city,state,game_type,team_abb,opponent_abb
Phoenix Mercury,9010,2010,Seattle Storm,US Airways Center,Phoenix,AZ,Western Conference Finals,PHO,SEA
New York Liberty,14248,2010,Atlanta Dream,Madison Square Garden,New York,NY,Eastern Conference Finals,NYL,ATL
Atlanta Dream,9045,2010,New York Liberty,Philips Arena,Atlanta,GA,Eastern Conference Finals,ATL,NYL
Seattle Storm,15084,2010,Atlanta Dream,KeyArena,Seattle,WA,Finals,SEA,ATL
Seattle Storm,13898,2010,Atlanta Dream,KeyArena,Seattle,WA,Finals,SEA,ATL
Atlanta Dream,10522,2010,Seattle Storm,Philips Arena,Atlanta,GA,Finals,ATL,SEA
Los Angeles Sparks,13589,2011,Minnesota Lynx,Staples Center,Los Angeles,CA,Regular season,LAS,MIN
Seattle Storm,11548,2011,Phoenix Mercury,KeyArena,Seattle,WA,Regular season,SEA,PHO
Connecticut Sun,6666,2011,Washington Mystics,Mohegan Sun Arena,Uncasville,CT,Regular season,CON,WAS
Indiana Fever,8024,2011,Chicago Sky,Bankers Life Fieldhouse,Indianapolis,IN,Regular season,IND,CHI
San Antonio Stars,12406,2011,Tulsa Shock,AT&T Center,San Antonio,TX,Regular season,SAN,TUL
Atlanta Dream,8038,2011,New York Liberty,Philips Arena,Atlanta,GA,Regular season,ATL,NYL
Minnesota Lynx,10123,2011,Los Angeles Sparks,Target Center,Minneapolis,MN,Regular season,MIN,LAS
Minnesota Lynx,7713,2011,Tulsa Shock,Target Center,Minneapolis,MN,Regular season,MIN,TUL
Atlanta Dream,5020,2011,Washington Mystics,Philips Arena,Atlanta,GA,Regular season,ATL,WAS
Seattle Storm,6291,2011,Minnesota Lynx,KeyArena,Seattle,WA,Regular season,SEA,MIN
Indiana Fever,7703,2011,New York Liberty,Bankers Life Fieldhouse,Indianapolis,IN,Regular season,IND,NYL
Tulsa Shock,7509,2011,San Antonio Silver Stars,BOK Center,Tulsa,OK,Regular season,TUL,SAN
Chicago Sky,6609,2011,Connecticut Sun,Allstate Arena,Rosemont,IL,Regular season,CHI,CON
Los Angeles Sparks,10616,2011,Phoenix Mercury,Staples Center,Los Angeles,CA,Regular season,LAS,PHO
New York Liberty,7835,2011,Indiana Fever,Prudential Center,Newark,NJ,Regular season,NYL,IND
Washington Mystics,11943,2011,Chicago Sky,Verizon Center,Washington,DC,Regular season,WAS,CHI
San Antonio Stars,9140,2011,Atlanta Dream,AT&T Center,San Antonio,TX,Regular season,SAN,ATL
Connecticut Sun,6520,2011,Tulsa Shock,Mohegan Sun Arena,Uncasville,CT,Regular season,CON,TUL
Indiana Fever,6024,2011,Tulsa Shock,Bankers Life Fieldhouse,Indianapolis,IN,Regular season,IND,TUL
New York Liberty,5725,2011,Atlanta Dream,Prudential Center,Newark,NJ,Regular season,NYL,ATL
Washington Mystics,7028,2011,Connecticut Sun,Verizon Center,Washington,DC,Regular season,WAS,CON
Minnesota Lynx,7556,2011,Atlanta Dream,Target Center,Minneapolis,MN,Regular season,MIN,ATL
Chicago Sky,5718,2011,New York Liberty,Allstate Arena,Rosemont,IL,Regular season,CHI,NYL
Phoenix Mercury,12274,2011,San Antonio Silver Stars,US Airways Center,Phoenix,AZ,Regular season,PHO,SAN
Seattle Storm,8178,2011,Indiana Fever,KeyArena,Seattle,WA,Regular season,SEA,IND
Tulsa Shock,4423,2011,Washington Mystics,BOK Center,Tulsa,OK,Regular season,TUL,WAS
Connecticut Sun,6875,2011,Chicago Sky,Mohegan Sun Arena,Uncasville,CT,Regular season,CON,CHI
Atlanta Dream,7274,2011,Minnesota Lynx,Philips Arena,Atlanta,GA,Regular season,ATL,MIN
Phoenix Mercury,7701,2011,Indiana Fever,US Airways Center,Phoenix,AZ,Regular season,PHO,IND
Los Angeles Sparks,9119,2011,Seattle Storm,Staples Center,Los Angeles,CA,Regular season,LAS,SEA
Atlanta Dream,6154,2011,Chicago Sky,Philips Arena,Atlanta,GA,Regular season,ATL,CHI
Washington Mystics,7980,2011,Indiana Fever,Verizon Center,Washington,DC,Regular season,WAS,IND
San Antonio Stars,7072,2011,Phoenix Mercury,AT&T Center,San Antonio,TX,Regular season,SAN,PHO
Tulsa Shock,4612,2011,Seattle Storm,BOK Center,Tulsa,OK,Regular season,TUL,SEA
Los Angeles Sparks,10389,2011,New York Liberty,Staples Center,Los Angeles,CA,Regular season,LAS,NYL
Tulsa Shock,4682,2011,New York Liberty,BOK Center,Tulsa,OK,Regular season,TUL,NYL
Chicago Sky,3319,2011,Connecticut Sun,Allstate Arena,Rosemont,IL,Regular season,CHI,CON
Atlanta Dream,5492,2011,Phoenix Mercury,Philips Arena,Atlanta,GA,Regular season,ATL,PHO
San Antonio Stars,8617,2011,Los Angeles Sparks,AT&T Center,San Antonio,TX,Regular season,SAN,LAS
Seattle Storm,7914,2011,Minnesota Lynx,KeyArena,Seattle,WA,Regular season,SEA,MIN
Indiana Fever,7100,2011,Connecticut Sun,Bankers Life Fieldhouse,Indianapolis,IN,Regular season,IND,CON
Chicago Sky,5547,2011,Phoenix Mercury,Allstate Arena,Rosemont,IL,Regular season,CHI,PHO
Atlanta Dream,5718,2011,San Antonio Silver Stars,Philips Arena,Atlanta,GA,Regular season,ATL,SAN
New York Liberty,7625,2011,Los Angeles Sparks,Prudential Center,Newark,NJ,Regular season,NYL,LAS
Washington Mystics,10675,2011,Tulsa Shock,Verizon Center,Washington,DC,Regular season,WAS,TUL
Minnesota Lynx,7117,2011,Indiana Fever,Target Center,Minneapolis,MN,Regular season,MIN,IND
Indiana Fever,6625,2011,Phoenix Mercury,Bankers Life Fieldhouse,Indianapolis,IN,Regular season,IND,PHO
Chicago Sky,3894,2011,San Antonio Silver Stars,Allstate Arena,Rosemont,IL,Regular season,CHI,SAN
Connecticut Sun,6515,2011,Los Angeles Sparks,Mohegan Sun Arena,Uncasville,CT,Regular season,CON,LAS
Atlanta Dream,4423,2011,New York Liberty,Philips Arena,Atlanta,GA,Regular season,ATL,NYL
Tulsa Shock,3970,2011,Minnesota Lynx,BOK Center,Tulsa,OK,Regular season,TUL,MIN
New York Liberty,6714,2011,San Antonio Silver Stars,Prudential Center,Newark,NJ,Regular season,NYL,SAN
Connecticut Sun,7748,2011,Seattle Storm,Mohegan Sun Arena,Uncasville,CT,Regular season,CON,SEA
Phoenix Mercury,9517,2011,Chicago Sky,US Airways Center,Phoenix,AZ,Regular season,PHO,CHI
Washington Mystics,11604,2011,Seattle Storm,Verizon Center,Washington,DC,Regular season,WAS,SEA
Indiana Fever,6525,2011,Seattle Storm,Bankers Life Fieldhouse,Indianapolis,IN,Regular season,IND,SEA
Chicago Sky,3187,2011,Washington Mystics,Allstate Arena,Rosemont,IL,Regular season,CHI,WAS
Phoenix Mercury,9826,2011,Los Angeles Sparks,US Airways Center,Phoenix,AZ,Regular season,PHO,LAS
San Antonio Stars,8100,2011,New York Liberty,AT&T Center,San Antonio,TX,Regular season,SAN,NYL
Tulsa Shock,4081,2011,Phoenix Mercury,BOK Center,Tulsa,OK,Regular season,TUL,PHO
Indiana Fever,7056,2011,Washington Mystics,Bankers Life Fieldhouse,Indianapolis,IN,Regular season,IND,WAS
Chicago Sky,5679,2011,Atlanta Dream,Allstate Arena,Rosemont,IL,Regular season,CHI,ATL
Minnesota Lynx,8205,2011,Connecticut Sun,Target Center,Minneapolis,MN,Regular season,MIN,CON
Seattle Storm,9686,2011,Los Angeles Sparks,KeyArena,Seattle,WA,Regular season,SEA,LAS
New York Liberty,7315,2011,Chicago Sky,Prudential Center,Newark,NJ,Regular season,NYL,CHI
Phoenix Mercury,7696,2011,Tulsa Shock,US Airways Center,Phoenix,AZ,Regular season,PHO,TUL
Seattle Storm,13384,2011,Washington Mystics,KeyArena,Seattle,WA,Regular season,SEA,WAS
San Antonio Stars,6769,2011,Los Angeles Sparks,AT&T Center,San Antonio,TX,Regular season,SAN,LAS
New York Liberty,14314,2011,Atlanta Dream,Prudential Center,Newark,NJ,Regular season,NYL,ATL
Chicago Sky,13838,2011,Tulsa Shock,Allstate Arena,Rosemont,IL,Regular season,CHI,TUL
Minnesota Lynx,11820,2011,Phoenix Mercury,Target Center,Minneapolis,MN,Regular season,MIN,PHO
Indiana Fever,9045,2011,Connecticut Sun,Bankers Life Fieldhouse,Indianapolis,IN,Regular season,IND,CON
San Antonio Stars,9167,2011,Seattle Storm,AT&T Center,San Antonio,TX,Regular season,SAN,SEA
Indiana Fever,7538,2011,Minnesota Lynx,Bankers Life Fieldhouse,Indianapolis,IN,Regular season,IND,MIN
New York Liberty,7722,2011,Connecticut Sun,Prudential Center,Newark,NJ,Regular season,NYL,CON
Tulsa Shock,5034,2011,Los Angeles Sparks,BOK Center,Tulsa,OK,Regular season,TUL,LAS
Phoenix Mercury,9075,2011,Washington Mystics,US Airways Center,Phoenix,AZ,Regular season,PHO,WAS
Atlanta Dream,7413,2011,Chicago Sky,Philips Arena,Atlanta,GA,Regular season,ATL,CHI
Minnesota Lynx,7733,2011,Seattle Storm,Target Center,Minneapolis,MN,Regular season,MIN,SEA
New York Liberty,6735,2011,Tulsa Shock,Prudential Center,Newark,NJ,Regular season,NYL,TUL
Connecticut Sun,7075,2011,Indiana Fever,Mohegan Sun Arena,Uncasville,CT,Regular season,CON,IND
Los Angeles Sparks,10398,2011,Washington Mystics,Staples Center,Los Angeles,CA,Regular season,LAS,WAS
Los Angeles Sparks,8818,2011,San Antonio Silver Stars,Staples Center,Los Angeles,CA,Regular season,LAS,SAN
Atlanta Dream,7645,2011,Indiana Fever,Philips Arena,Atlanta,GA,Regular season,ATL,IND
Chicago Sky,6026,2011,Seattle Storm,Allstate Arena,Rosemont,IL,Regular season,CHI,SEA
Connecticut Sun,6096,2011,New York Liberty,Mohegan Sun Arena,Uncasville,CT,Regular season,CON,NYL
Washington Mystics,13954,2011,Atlanta Dream,Verizon Center,Washington,DC,Regular season,WAS,ATL
Phoenix Mercury,12118,2011,Minnesota Lynx,US Airways Center,Phoenix,AZ,Regular season,PHO,MIN
Indiana Fever,8050,2011,Chicago Sky,Bankers Life Fieldhouse,Indianapolis,IN,Regular season,IND,CHI
Seattle Storm,6922,2011,San Antonio Silver Stars,KeyArena,Seattle,WA,Regular season,SEA,SAN
Western Conference All Stars,12540,2011,Eastern Conference All Stars,AT&T Center,San Antonio,TX,All star,WST,EST
Washington Mystics,11331,2011,San Antonio Silver Stars,Verizon Center,Washington,DC,Regular season,WAS,SAN
Chicago Sky,3091,2011,Connecticut Sun,Allstate Arena,Rosemont,IL,Regular season,CHI,CON
Minnesota Lynx,8044,2011,Los Angeles Sparks,Target Center,Minneapolis,MN,Regular season,MIN,LAS
Tulsa Shock,3435,2011,Atlanta Dream,BOK Center,Tulsa,OK,Regular season,TUL,ATL
Phoenix Mercury,6108,2011,Seattle Storm,US Airways Center,Phoenix,AZ,Regular season,PHO,SEA
San Antonio Stars,14797,2011,Phoenix Mercury,AT&T Center,San Antonio,TX,Regular season,SAN,PHO
Atlanta Dream,6701,2011,Los Angeles Sparks,Philips Arena,Atlanta,GA,Regular season,ATL,LAS
New York Liberty,6808,2011,Washington Mystics,Prudential Center,Newark,NJ,Regular season,NYL,WAS
Connecticut Sun,6329,2011,Indiana Fever,Mohegan Sun Arena,Uncasville,CT,Regular season,CON,IND
Tulsa Shock,4012,2011,Chicago Sky,BOK Center,Tulsa,OK,Regular season,TUL,CHI
Washington Mystics,11587,2011,Indiana Fever,Verizon Center,Washington,DC,Regular season,WAS,IND
Minnesota Lynx,7856,2011,Seattle Storm,Target Center,Minneapolis,MN,Regular season,MIN,SEA
New York Liberty,7214,2011,Phoenix Mercury,Prudential Center,Newark,NJ,Regular season,NYL,PHO
Chicago Sky,5909,2011,Los Angeles Sparks,Allstate Arena,Rosemont,IL,Regular season,CHI,LAS
Tulsa Shock,5067,2011,Seattle Storm,BOK Center,Tulsa,OK,Regular season,TUL,SEA
San Antonio Stars,7260,2011,Minnesota Lynx,AT&T Center,San Antonio,TX,Regular season,SAN,MIN
Connecticut Sun,6955,2011,Atlanta Dream,Mohegan Sun Arena,Uncasville,CT,Regular season,CON,ATL
Indiana Fever,9256,2011,Los Angeles Sparks,Bankers Life Fieldhouse,Indianapolis,IN,Regular season,IND,LAS
Atlanta Dream,4573,2011,New York Liberty,Philips Arena,Atlanta,GA,Regular season,ATL,NYL
Minnesota Lynx,7126,2011,Phoenix Mercury,Target Center,Minneapolis,MN,Regular season,MIN,PHO
Seattle Storm,6179,2011,San Antonio Silver Stars,KeyArena,Seattle,WA,Regular season,SEA,SAN
Los Angeles Sparks,14266,2011,Connecticut Sun,Staples Center,Los Angeles,CA,Regular season,LAS,CON
New York Liberty,10133,2011,Chicago Sky,Prudential Center,Newark,NJ,Regular season,NYL,CHI
Minnesota Lynx,8123,2011,San Antonio Silver Stars,Target Center,Minneapolis,MN,Regular season,MIN,SAN
Tulsa Shock,5013,2011,Indiana Fever,BOK Center,Tulsa,OK,Regular season,TUL,IND
Seattle Storm,7289,2011,Connecticut Sun,KeyArena,Seattle,WA,Regular season,SEA,CON
Washington Mystics,10741,2011,New York Liberty,Verizon Center,Washington,DC,Regular season,WAS,NYL
San Antonio Stars,8273,2011,Tulsa Shock,AT&T Center,San Antonio,TX,Regular season,SAN,TUL
Atlanta Dream,7337,2011,Seattle Storm,Philips Arena,Atlanta,GA,Regular season,ATL,SEA
Phoenix Mercury,8514,2011,Connecticut Sun,US Airways Center,Phoenix,AZ,Regular season,PHO,CON
Chicago Sky,5794,2011,Indiana Fever,Allstate Arena,Rosemont,IL,Regular season,CHI,IND
Los Angeles Sparks,13528,2011,Minnesota Lynx,Staples Center,Los Angeles,CA,Regular season,LAS,MIN
Indiana Fever,7520,2011,San Antonio Silver Stars,Bankers Life Fieldhouse,Indianapolis,IN,Regular season,IND,SAN
Washington Mystics,9536,2011,Atlanta Dream,Verizon Center,Washington,DC,Regular season,WAS,ATL
Connecticut Sun,6049,2011,Chicago Sky,Mohegan Sun Arena,Uncasville,CT,Regular season,CON,CHI
New York Liberty,6732,2011,Seattle Storm,Prudential Center,Newark,NJ,Regular season,NYL,SEA
Phoenix Mercury,6726,2011,Minnesota Lynx,US Airways Center,Phoenix,AZ,Regular season,PHO,MIN
Los Angeles Sparks,8255,2011,Tulsa Shock,Staples Center,Los Angeles,CA,Regular season,LAS,TUL
Connecticut Sun,5334,2011,San Antonio Silver Stars,Mohegan Sun Arena,Uncasville,CT,Regular season,CON,SAN
Phoenix Mercury,7940,2011,Atlanta Dream,US Airways Center,Phoenix,AZ,Regular season,PHO,ATL
Seattle Storm,6503,2011,Tulsa Shock,KeyArena,Seattle,WA,Regular season,SEA,TUL
Washington Mystics,10092,2011,New York Liberty,Verizon Center,Washington,DC,Regular season,WAS,NYL
Chicago Sky,6289,2011,Minnesota Lynx,Allstate Arena,Rosemont,IL,Regular season,CHI,MIN
Los Angeles Sparks,10512,2011,Phoenix Mercury,Staples Center,Los Angeles,CA,Regular season,LAS,PHO
Connecticut Sun,6717,2011,Washington Mystics,Mohegan Sun Arena,Uncasville,CT,Regular season,CON,WAS
Indiana Fever,9237,2011,New York Liberty,Bankers Life Fieldhouse,Indianapolis,IN,Regular season,IND,NYL
Seattle Storm,9686,2011,Atlanta Dream,KeyArena,Seattle,WA,Regular season,SEA,ATL
San Antonio Stars,7060,2011,Chicago Sky,AT&T Center,San Antonio,TX,Regular season,SAN,CHI
Minnesota Lynx,8388,2011,Tulsa Shock,Target Center,Minneapolis,MN,Regular season,MIN,TUL
New York Liberty,6223,2011,Washington Mystics,Prudential Center,Newark,NJ,Regular season,NYL,WAS
Connecticut Sun,9323,2011,Minnesota Lynx,Mohegan Sun Arena,Uncasville,CT,Regular season,CON,MIN
San Antonio Stars,6358,2011,Indiana Fever,AT&T Center,San Antonio,TX,Regular season,SAN,IND
Phoenix Mercury,8870,2011,Seattle Storm,US Airways Center,Phoenix,AZ,Regular season,PHO,SEA
Los Angeles Sparks,7522,2011,Atlanta Dream,Staples Center,Los Angeles,CA,Regular season,LAS,ATL
New York Liberty,7245,2011,Connecticut Sun,Prudential Center,Newark,NJ,Regular season,NYL,CON
Washington Mystics,9483,2011,Minnesota Lynx,Verizon Center,Washington,DC,Regular season,WAS,MIN
Los Angeles Sparks,8102,2011,Indiana Fever,Staples Center,Los Angeles,CA,Regular season,LAS,IND
Atlanta Dream,7225,2011,Connecticut Sun,Philips Arena,Atlanta,GA,Regular season,ATL,CON
Washington Mystics,10273,2011,Chicago Sky,Verizon Center,Washington,DC,Regular season,WAS,CHI
Minnesota Lynx,8816,2011,Los Angeles Sparks,Target Center,Minneapolis,MN,Regular season,MIN,LAS
Phoenix Mercury,10134,2011,San Antonio Silver Stars,US Airways Center,Phoenix,AZ,Regular season,PHO,SAN
Seattle Storm,7139,2011,New York Liberty,KeyArena,Seattle,WA,Regular season,SEA,NYL
Connecticut Sun,6636,2011,Atlanta Dream,Mohegan Sun Arena,Uncasville,CT,Regular season,CON,ATL
Indiana Fever,7935,2011,Washington Mystics,Bankers Life Fieldhouse,Indianapolis,IN,Regular season,IND,WAS
Tulsa Shock,6012,2011,Los Angeles Sparks,BOK Center,Tulsa,OK,Regular season,TUL,LAS
Washington Mystics,8441,2011,Los Angeles Sparks,Verizon Center,Washington,DC,Regular season,WAS,LAS
Chicago Sky,2876,2011,Atlanta Dream,Allstate Arena,Rosemont,IL,Regular season,CHI,ATL
Tulsa Shock,3750,2011,Minnesota Lynx,BOK Center,Tulsa,OK,Regular season,TUL,MIN
Seattle Storm,6559,2011,San Antonio Silver Stars,KeyArena,Seattle,WA,Regular season,SEA,SAN
Phoenix Mercury,8871,2011,New York Liberty,US Airways Center,Phoenix,AZ,Regular season,PHO,NYL
Seattle Storm,6887,2011,Tulsa Shock,KeyArena,Seattle,WA,Regular season,SEA,TUL
Connecticut Sun,9007,2011,Phoenix Mercury,Mohegan Sun Arena,Uncasville,CT,Regular season,CON,PHO
Minnesota Lynx,9212,2011,San Antonio Silver Stars,Target Center,Minneapolis,MN,Regular season,MIN,SAN
Chicago Sky,4434,2011,Washington Mystics,Allstate Arena,Rosemont,IL,Regular season,CHI,WAS
Los Angeles Sparks,8997,2011,Tulsa Shock,Staples Center,Los Angeles,CA,Regular season,LAS,TUL
Indiana Fever,9242,2011,Atlanta Dream,Bankers Life Fieldhouse,Indianapolis,IN,Regular season,IND,ATL
San Antonio Stars,7924,2011,Minnesota Lynx,AT&T Center,San Antonio,TX,Regular season,SAN,MIN
Tulsa Shock,4813,2011,Connecticut Sun,BOK Center,Tulsa,OK,Regular season,TUL,CON
Washington Mystics,11614,2011,Phoenix Mercury,Verizon Center,Washington,DC,Regular season,WAS,PHO
Chicago Sky,5707,2011,New York Liberty,Allstate Arena,Rosemont,IL,Regular season,CHI,NYL
Seattle Storm,9686,2011,Los Angeles Sparks,KeyArena,Seattle,WA,Regular season,SEA,LAS
New York Liberty,6334,2011,Chicago Sky,Prudential Center,Newark,NJ,Regular season,NYL,CHI
Atlanta Dream,6467,2011,Indiana Fever,Philips Arena,Atlanta,GA,Regular season,ATL,IND
Minnesota Lynx,8065,2011,Washington Mystics,Target Center,Minneapolis,MN,Regular season,MIN,WAS
San Antonio Stars,6934,2011,Connecticut Sun,AT&T Center,San Antonio,TX,Regular season,SAN,CON
Tulsa Shock,3590,2011,Phoenix Mercury,BOK Center,Tulsa,OK,Regular season,TUL,PHO
Los Angeles Sparks,9023,2011,Seattle Storm,Staples Center,Los Angeles,CA,Regular season,LAS,SEA
Washington Mystics,7954,2011,Atlanta Dream,Verizon Center,Washington,DC,Regular season,WAS,ATL
San Antonio Stars,6502,2011,Phoenix Mercury,AT&T Center,San Antonio,TX,Regular season,SAN,PHO
Atlanta Dream,6579,2011,Washington Mystics,Philips Arena,Atlanta,GA,Regular season,ATL,WAS
Connecticut Sun,6991,2011,Indiana Fever,Mohegan Sun Arena,Uncasville,CT,Regular season,CON,IND
Minnesota Lynx,8929,2011,New York Liberty,Target Center,Minneapolis,MN,Regular season,MIN,NYL
Tulsa Shock,6117,2011,Seattle Storm,BOK Center,Tulsa,OK,Regular season,TUL,SEA
San Antonio Stars,9575,2011,Seattle Storm,AT&T Center,San Antonio,TX,Regular season,SAN,SEA
Phoenix Mercury,9620,2011,Los Angeles Sparks,US Airways Center,Phoenix,AZ,Regular season,PHO,LAS
Atlanta Dream,7661,2011,Tulsa Shock,Philips Arena,Atlanta,GA,Regular season,ATL,TUL
New York Liberty,8247,2011,Minnesota Lynx,Prudential Center,Newark,NJ,Regular season,NYL,MIN
Washington Mystics,13403,2011,Connecticut Sun,Verizon Center,Washington,DC,Regular season,WAS,CON
Chicago Sky,6199,2011,Indiana Fever,Allstate Arena,Rosemont,IL,Regular season,CHI,IND
Atlanta Dream,6558,2011,Connecticut Sun,Philips Arena,Atlanta,GA,Regular season,ATL,CON
Los Angeles Sparks,8502,2011,San Antonio Silver Stars,Staples Center,Los Angeles,CA,Regular season,LAS,SAN
Indiana Fever,8514,2011,Washington Mystics,Bankers Life Fieldhouse,Indianapolis,IN,Regular season,IND,WAS
Minnesota Lynx,8781,2011,Chicago Sky,Target Center,Minneapolis,MN,Regular season,MIN,CHI
Phoenix Mercury,8189,2011,Tulsa Shock,US Airways Center,Phoenix,AZ,Regular season,PHO,TUL
New York Liberty,8015,2011,Indiana Fever,Prudential Center,Newark,NJ,Regular season,NYL,IND
Seattle Storm,9686,2011,Phoenix Mercury,KeyArena,Seattle,WA,Regular season,SEA,PHO
Los Angeles Sparks,10299,2011,Tulsa Shock,Staples Center,Los Angeles,CA,Regular season,LAS,TUL
San Antonio Stars,12813,2011,Washington Mystics,AT&T Center,San Antonio,TX,Regular season,SAN,WAS
Los Angeles Sparks,13501,2011,Chicago Sky,Staples Center,Los Angeles,CA,Regular season,LAS,CHI
Connecticut Sun,9115,2011,New York Liberty,Mohegan Sun Arena,Uncasville,CT,Regular season,CON,NYL
Indiana Fever,11521,2011,Atlanta Dream,Bankers Life Fieldhouse,Indianapolis,IN,Regular season,IND,ATL
Phoenix Mercury,12666,2011,Minnesota Lynx,US Airways Center,Phoenix,AZ,Regular season,PHO,MIN
Tulsa Shock,5949,2011,San Antonio Silver Stars,BOK Center,Tulsa,OK,Regular season,TUL,SAN
Seattle Storm,13659,2011,Chicago Sky,KeyArena,Seattle,WA,Regular season,SEA,CHI
Indiana Fever,7608,2011,New York Liberty,Bankers Life Fieldhouse,Indianapolis,IN,Eastern Conference Semifinals,IND,NYL
Seattle Storm,7279,2011,Phoenix Mercury,KeyArena,Seattle,WA,Western Conference Semifinals,SEA,PHO
Connecticut Sun,7373,2011,Atlanta Dream,Mohegan Sun Arena,Uncasville,CT,Eastern Conference Semifinals,CON,ATL
Minnesota Lynx,11891,2011,San Antonio Silver Stars,Target Center,Minneapolis,MN,Western Conference Semifinals,MIN,SAN
New York Liberty,8508,2011,Indiana Fever,Prudential Center,Newark,NJ,Eastern Conference Semifinals,NYL,IND
Phoenix Mercury,9356,2011,Seattle Storm,US Airways Center,Phoenix,AZ,Western Conference Semifinals,PHO,SEA
Atlanta Dream,6887,2011,Connecticut Sun,Philips Arena,Atlanta,GA,Eastern Conference Semifinals,ATL,CON
San Antonio Stars,7023,2011,Minnesota Lynx,AT&T Center,San Antonio,TX,Western Conference Semifinals,SAN,MIN
Indiana Fever,7368,2011,New York Liberty,Bankers Life Fieldhouse,Indianapolis,IN,Eastern Conference Semifinals,IND,NYL
Seattle Storm,8589,2011,Phoenix Mercury,KeyArena,Seattle,WA,Western Conference Semifinals,SEA,PHO
Minnesota Lynx,8734,2011,San Antonio Silver Stars,Target Center,Minneapolis,MN,Western Conference Semifinals,MIN,SAN
Indiana Fever,8253,2011,Atlanta Dream,Bankers Life Fieldhouse,Indianapolis,IN,Eastern Conference Finals,IND,ATL
Minnesota Lynx,8912,2011,Phoenix Mercury,Target Center,Minneapolis,MN,Western Conference Finals,MIN,PHO
Atlanta Dream,8052,2011,Indiana Fever,Philips Arena,Atlanta,GA,Eastern Conference Finals,ATL,IND
Phoenix Mercury,8617,2011,Minnesota Lynx,US Airways Center,Phoenix,AZ,Western Conference Finals,PHO,MIN
Indiana Fever,9036,2011,Atlanta Dream,Bankers Life Fieldhouse,Indianapolis,IN,Eastern Conference Finals,IND,ATL
Minnesota Lynx,15258,2011,Atlanta Dream,Target Center,Minneapolis,MN,Finals,MIN,ATL
Minnesota Lynx,15124,2011,Atlanta Dream,Target Center,Minneapolis,MN,Finals,MIN,ATL
Atlanta Dream,11543,2011,Minnesota Lynx,Philips Arena,Atlanta,GA,Finals,ATL,MIN
Seattle Storm,9686,2012,Los Angeles Sparks,KeyArena,Seattle,WA,Regular season,SEA,LAS
New York Liberty,8112,2012,Connecticut Sun,Madison Square Garden,New York,NY,Regular season,NYL,CON
Indiana Fever,9403,2012,Atlanta Dream,Bankers Life Fieldhouse,Indianapolis,IN,Regular season,IND,ATL
Washington Mystics,11415,2012,Chicago Sky,Verizon Center,Washington,DC,Regular season,WAS,CHI
Tulsa Shock,7509,2012,San Antonio Silver Stars,BOK Center,Tulsa,OK,Regular season,TUL,SAN
Minnesota Lynx,12611,2012,Phoenix Mercury,Target Center,Minneapolis,MN,Regular season,MIN,PHO
Connecticut Sun,7118,2012,New York Liberty,Mohegan Sun Arena,Uncasville,CT,Regular season,CON,NYL
New York Liberty,5411,2012,Minnesota Lynx,Prudential Center,Newark,NJ,Regular season,NYL,MIN
Tulsa Shock,5341,2012,Phoenix Mercury,BOK Center,Tulsa,OK,Regular season,TUL,PHO
Los Angeles Sparks,10717,2012,Seattle Storm,Staples Center,Los Angeles,CA,Regular season,LAS,SEA
Minnesota Lynx,7923,2012,Los Angeles Sparks,Target Center,Minneapolis,MN,Regular season,MIN,LAS
Connecticut Sun,6115,2012,San Antonio Silver Stars,Mohegan Sun Arena,Uncasville,CT,Regular season,CON,SAN
Atlanta Dream,6802,2012,New York Liberty,Philips Arena,Atlanta,GA,Regular season,ATL,NYL
Chicago Sky,6198,2012,Indiana Fever,Allstate Arena,Rosemont,IL,Regular season,CHI,IND
Washington Mystics,11866,2012,Tulsa Shock,Verizon Center,Washington,DC,Regular season,WAS,TUL
Phoenix Mercury,10200,2012,Los Angeles Sparks,US Airways Center,Phoenix,AZ,Regular season,PHO,LAS
Atlanta Dream,7282,2012,Indiana Fever,Philips Arena,Atlanta,GA,Regular season,ATL,IND
Minnesota Lynx,7832,2012,Seattle Storm,Target Center,Minneapolis,MN,Regular season,MIN,SEA
Los Angeles Sparks,8312,2012,Tulsa Shock,Staples Center,Los Angeles,CA,Regular season,LAS,TUL
Washington Mystics,8131,2012,Minnesota Lynx,Verizon Center,Washington,DC,Regular season,WAS,MIN
San Antonio Stars,7233,2012,Chicago Sky,AT&T Center,San Antonio,TX,Regular season,SAN,CHI
Atlanta Dream,4887,2012,Phoenix Mercury,Philips Arena,Atlanta,GA,Regular season,ATL,PHO
Connecticut Sun,7249,2012,Minnesota Lynx,Mohegan Sun Arena,Uncasville,CT,Regular season,CON,MIN
San Antonio Stars,6534,2012,Phoenix Mercury,AT&T Center,San Antonio,TX,Regular season,SAN,PHO
Chicago Sky,4078,2012,Washington Mystics,Allstate Arena,Rosemont,IL,Regular season,CHI,WAS
Seattle Storm,7489,2012,Tulsa Shock,KeyArena,Seattle,WA,Regular season,SEA,TUL
Atlanta Dream,4503,2012,Chicago Sky,Philips Arena,Atlanta,GA,Regular season,ATL,CHI
Indiana Fever,8006,2012,New York Liberty,Bankers Life Fieldhouse,Indianapolis,IN,Regular season,IND,NYL
Connecticut Sun,7065,2012,Washington Mystics,Mohegan Sun Arena,Uncasville,CT,Regular season,CON,WAS
