team,attendance,season,opponent,arena,city,state,game_type,team_abb,opponent_abb
Los Angeles Sparks,11972,2001,Sacramento Monarchs,Great Western Forum,Los Angeles,CA,Western Conference Finals,LAS,SAC
New York Liberty,14006,2001,Charlotte Sting,Madison Square Garden,New York,NY,Eastern Conference Finals,NYL,CHA
Los Angeles Sparks,7174,2001,Sacramento Monarchs,Great Western Forum,Los Angeles,CA,Western Conference Finals,LAS,SAC
Charlotte Sting,16132,2001,Los Angeles Sparks,Spectrum Center,Charlotte,NC,Finals,CHA,LAS
Los Angeles Sparks,13141,2001,Charlotte Sting,Great Western Forum,Los Angeles,CA,Finals,LAS,CHA
Los Angeles Sparks,11289,2002,New York Liberty,Staples Center,Los Angeles,CA,Regular season,LAS,NYL
Minnesota Lynx,11481,2002,Utah Starzz,Target Center,Minneapolis,MN,Regular season,MIN,UTA
Houston Comets,12697,2002,Los Angeles Sparks,Compaq Center,Houston,TX,Regular season,HOU,LAS
Miami Sol,9130,2002,Minnesota Lynx,AmericanAirlines Arena,Miami,FL,Regular season,MIA,MIN
Houston Comets,7887,2002,Phoenix Mercury,Compaq Center,Houston,TX,Regular season,HOU,PHO
Portland Fire,9386,2002,New York Liberty,Moda Center,Portland,OR,Regular season,POR,NYL
Miami Sol,7320,2002,Los Angeles Sparks,AmericanAirlines Arena,Miami,FL,Regular season,MIA,LAS
Orlando Miracle,13111,2002,Detroit Shock,Amway Arena,Orlando,FL,Regular season,ORL,DET
Utah Starzz,6261,2002,Portland Fire,EnergySolutions Arena,Salt Lake City,UT,Regular season,UTA,POR
Seattle Storm,7842,2002,New York Liberty,KeyArena,Seattle,WA,Regular season,SEA,NYL
Cleveland Rockers,12773,2002,Houston Comets,Quicken Loans Arena,Cleveland,OH,Regular season,CLE,HOU
Washington Mystics,17383,2002,Orlando Miracle,Verizon Center,Washington,DC,Regular season,WAS,ORL
Charlotte Sting,10063,2002,Los Angeles Sparks,Spectrum Center,Charlotte,NC,Regular season,CHA,LAS
Indiana Fever,13014,2002,Detroit Shock,Bankers Life Fieldhouse,Indianapolis,IN,Regular season,IND,DET
Phoenix Mercury,9647,2002,Utah Starzz,US Airways Center,Phoenix,AZ,Regular season,PHO,UTA
Sacramento Monarchs,17317,2002,Minnesota Lynx,ARCO Arena,Sacramento,CA,Regular season,SAC,MIN
New York Liberty,14674,2002,Miami Sol,Madison Square Garden,New York,NY,Regular season,NYL,MIA
Portland Fire,8627,2002,Seattle Storm,Moda Center,Portland,OR,Regular season,POR,SEA
Detroit Shock,5681,2002,Indiana Fever,Palace of Auburn Hills,Detroit,MI,Regular season,DET,IND
Charlotte Sting,5915,2002,Houston Comets,Spectrum Center,Charlotte,NC,Regular season,CHA,HOU
Phoenix Mercury,7984,2002,Washington Mystics,US Airways Center,Phoenix,AZ,Regular season,PHO,WAS
Los Angeles Sparks,8567,2002,Portland Fire,Staples Center,Los Angeles,CA,Regular season,LAS,POR
Miami Sol,5286,2002,Orlando Miracle,AmericanAirlines Arena,Miami,FL,Regular season,MIA,ORL
Utah Starzz,5490,2002,Washington Mystics,EnergySolutions Arena,Salt Lake City,UT,Regular season,UTA,WAS
Seattle Storm,4318,2002,Minnesota Lynx,KeyArena,Seattle,WA,Regular season,SEA,MIN
New York Liberty,13181,2002,Detroit Shock,Madison Square Garden,New York,NY,Regular season,NYL,DET
Indiana Fever,6814,2002,Houston Comets,Bankers Life Fieldhouse,Indianapolis,IN,Regular season,IND,HOU
Cleveland Rockers,5957,2002,Detroit Shock,Quicken Loans Arena,Cleveland,OH,Regular season,CLE,DET
Portland Fire,6441,2002,Sacramento Monarchs,Moda Center,Portland,OR,Regular season,POR,SAC
Seattle Storm,3927,2002,Charlotte Sting,KeyArena,Seattle,WA,Regular season,SEA,CHA
Washington Mystics,14970,2002,Indiana Fever,Verizon Center,Washington,DC,Regular season,WAS,IND
Orlando Miracle,7255,2002,Cleveland Rockers,Amway Arena,Orlando,FL,Regular season,ORL,CLE
Indiana Fever,7021,2002,New York Liberty,Bankers Life Fieldhouse,Indianapolis,IN,Regular season,IND,NYL
Minnesota Lynx,6448,2002,Los Angeles Sparks,Target Center,Minneapolis,MN,Regular season,MIN,LAS
Utah Starzz,7258,2002,Charlotte Sting,EnergySolutions Arena,Salt Lake City,UT,Regular season,UTA,CHA
Washington Mystics,14166,2002,Miami Sol,Verizon Center,Washington,DC,Regular season,WAS,MIA
Houston Comets,10245,2002,Sacramento Monarchs,Compaq Center,Houston,TX,Regular season,HOU,SAC
Detroit Shock,3315,2002,New York Liberty,Palace of Auburn Hills,Detroit,MI,Regular season,DET,NYL
Phoenix Mercury,7875,2002,Charlotte Sting,US Airways Center,Phoenix,AZ,Regular season,PHO,CHA
Seattle Storm,5139,2002,Utah Starzz,KeyArena,Seattle,WA,Regular season,SEA,UTA
Utah Starzz,6123,2002,New York Liberty,EnergySolutions Arena,Salt Lake City,UT,Regular season,UTA,NYL
Miami Sol,5726,2002,Cleveland Rockers,AmericanAirlines Arena,Miami,FL,Regular season,MIA,CLE
Orlando Miracle,4323,2002,Indiana Fever,Amway Arena,Orlando,FL,Regular season,ORL,IND
Minnesota Lynx,5373,2002,Sacramento Monarchs,Target Center,Minneapolis,MN,Regular season,MIN,SAC
Houston Comets,10245,2002,Charlotte Sting,Compaq Center,Houston,TX,Regular season,HOU,CHA
Seattle Storm,3715,2002,Portland Fire,KeyArena,Seattle,WA,Regular season,SEA,POR
Los Angeles Sparks,7487,2002,Detroit Shock,Staples Center,Los Angeles,CA,Regular season,LAS,DET
