Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Courtney Paris,SEA,C,30,190,30,0,190,6,15,0.4,0,0,,6,15,0.4,3,7,0.429,13,52,13,8,3,9,18,15
Candace Parker</strong,LAS,F-C,22,571,22,22,571,89,211,0.422,16,60,0.267,73,151,0.483,53,67,0.791,24,140,76,23,17,54,39,247
Cheyenne Parker</strong,CHI,F,34,670,34,0,670,107,233,0.459,5,18,0.278,102,215,0.474,80,95,0.842,62,197,30,25,42,45,81,299
JiSu Park</strong,LVA,C,25,163,25,0,163,8,37,0.216,0,1,0,8,36,0.222,4,9,0.444,10,27,10,5,4,7,23,20
Shey Peddy</strong,WAS,G,15,71,15,0,71,8,13,0.615,4,8,0.5,4,5,0.8,6,6,1,1,9,8,4,0,3,8,26
Haley Peters</strong,ATL,F,4,26,4,0,26,0,7,0,0,0,,0,7,0,2,2,1,1,2,1,1,1,4,3,2
Kelsey Plum</strong,LVA,G,34,868,34,30,868,107,293,0.365,45,125,0.36,62,168,0.369,34,39,0.872,15,97,102,27,4,53,76,293
Aerial Powers</strong,WAS,F-G,30,593,30,7,593,108,249,0.434,42,116,0.362,66,133,0.496,85,98,0.867,34,97,45,25,6,44,48,343
Epiphanny Prince</strong,LVA,G,3,28,3,0,28,5,10,0.5,3,7,0.429,2,3,0.667,0,0,,1,2,3,1,1,0,5,13
LaToya Sanders</strong,WAS,F-C,34,804,34,34,804,87,172,0.506,0,0,,87,172,0.506,33,37,0.892,44,186,66,30,47,30,71,207
Allie Quigley</strong,CHI,G,34,972,34,34,972,171,347,0.493,80,181,0.442,91,166,0.548,47,54,0.87,13,101,85,27,7,46,61,469
Nayo Raincock-Ekunwe</strong,NYL,F,28,367,28,1,367,43,79,0.544,1,3,0.333,42,76,0.553,16,25,0.64,39,77,12,8,4,22,43,103
Danielle Robinson</strong,MIN,G,34,919,34,25,919,138,316,0.437,9,41,0.22,129,275,0.469,58,66,0.879,22,118,125,42,7,70,61,343
Sugar Rodgers,LVA,G,33,382,33,0,382,40,111,0.36,30,84,0.357,10,27,0.37,3,5,0.6,4,48,39,13,12,27,37,113
Tierra Ruffin-Pratt</strong,LAS,G,34,856,34,33,856,72,196,0.367,25,73,0.342,47,123,0.382,35,41,0.854,20,83,57,26,20,29,91,204
Mercedes Russell</strong,SEA,C,34,870,34,30,870,106,204,0.52,0,0,,106,204,0.52,42,65,0.646,81,207,35,37,17,33,85,254
Katie Lou Samuelson</strong,CHI,F,20,153,20,0,153,12,38,0.316,8,29,0.276,4,9,0.444,16,20,0.8,4,17,7,6,2,5,15,48
Jessica Shepard</strong,MIN,F,6,112,6,0,112,11,29,0.379,1,7,0.143,10,22,0.455,6,8,0.75,9,34,21,2,1,15,9,29
Odyssey Sims</strong,MIN,G,34,1083,34,34,1083,189,455,0.415,25,93,0.269,164,362,0.453,89,112,0.795,24,114,185,46,4,112,68,492
Alanna Smith</strong,PHO,F,18,134,18,0,134,8,41,0.195,2,18,0.111,6,23,0.261,1,2,0.5,11,35,4,5,5,8,18,19
Azura Stevens</strong,DAL,F-C,9,144,9,1,144,19,53,0.358,1,9,0.111,18,44,0.409,4,5,0.8,15,32,5,5,10,9,12,43
Shekinna Stricklen</strong,CON,F,34,804,34,34,804,104,255,0.408,76,199,0.382,28,56,0.5,22,27,0.815,9,65,39,34,7,28,79,306
Carolyn Swords</strong,LVA,C,29,257,29,4,257,32,73,0.438,0,0,,32,73,0.438,11,13,0.846,19,63,10,7,3,17,27,75
Brittney Sykes</strong,ATL,G,34,880,34,27,880,128,351,0.365,28,108,0.259,100,243,0.412,64,91,0.703,25,151,85,20,16,68,59,348
Stephanie Talbot</strong,MIN,F,33,561,33,10,561,57,154,0.37,31,95,0.326,26,59,0.441,27,31,0.871,18,79,41,30,9,42,37,172
Diana Taurasi</strong,PHO,G,6,129,6,6,129,4,39,0.103,1,24,0.042,3,15,0.2,17,18,0.944,1,19,32,2,1,13,15,26
Alyssa Thomas</strong,CON,F,34,1026,34,34,1026,168,333,0.505,0,1,0,168,332,0.506,60,121,0.496,83,264,104,66,13,69,96,396
Jasmine Thomas</strong,CON,G,34,1009,34,34,1009,139,355,0.392,45,123,0.366,94,232,0.405,56,70,0.8,19,97,175,48,5,93,62,379
Kayla Thornton</strong,DAL,F,27,822,27,25,822,99,289,0.343,28,103,0.272,71,186,0.382,54,58,0.931,49,143,48,25,8,44,60,280
